1
76499073 6164
50938661 18639430 358222081
61879474 37875891 981538451
8569121 31519543 762571505
826426 44989599 564951774
35266086 61752126 658331117
31432651 46842715 141159644
42614843 55110773 241342986
66878357 4028285 106273698
27065936 48272238 612128865
38795438 69573014 994738560
3031383 51300484 976805129
8896374 64016141 113060452
31389827 63899689 178967087
32949183 65150365 138961128
27377536 72733183 859856818
54251239 54593623 45983595
8508488 24159569 297097790
37045875 14591634 245157230
826004 35455695 564769341
61838552 14308738 24511120
56827492 57209837 32543423
28199212 22384577 932818071
50139598 35263648 759821968
30196989 30385864 879818733
39028033 72900082 998376559
68153221 14189202 718439636
2378986 52304600 137488497
25388769 12193070 832609750
63833228 55143375 557439223
14385448 73697088 285114645
55639286 9291829 353374085
47487454 76498033 350128382
24887966 56682460 668676594
17423328 75675701 453113717
42976367 49334649 187962774
68109231 57790665 491665837
26018551 43439691 696942637
72123849 59880211 157159821
68896070 20324584 600055957
72555542 43802220 172191713
66777418 4254046 906634490
42851989 53018345 732337939
13398008 22359011 649348133
39947866 10467837 517998048
53954474 61888644 610948956
38607842 23829624 493991512
71142223 65995710 398631483
15652554 50755590 435984448
33114724 53819740 605695654
51608194 71654488 668063309
46188852 35777204 104936377
5591088 9064127 20028193
21347628 52399706 372109004
9869489 13587288 69531355
61750542 33931762 930076421
47235413 26848459 734051555
64303416 48615295 159679620
34083796 69170092 407271623
15204608 50626782 545821506
64072316 71500723 669102564
27274066 49021104 628075534
44359238 11365676 14377875
42232692 51971192 819144223
75951282 46770331 122245414
35372394 41351386 759712087
52939478 41675862 946475202
66066399 16478787 316630546
21840209 23322305 950548569
17871052 38165263 412423246
720387 19374664 850839628
32558606 34629733 170283347
1859948 41329123 727429053
22135721 9410433 584308675
64789567 36172449 902070597
25809277 2574877 658689360
53047745 54452348 306594650
13899350 38050649 985810514
70408918 2021407 910243670
73062477 64130095 814650159
7882472 60324702 238132451
47120679 10821446 534705417
60845432 66224989 400043133
53934136 31129177 797476051
52858397 42978215 235476556
23284452 48290439 426573884
43689641 22570141 673340163
70659085 54093550 436618315
41926218 209615 321328242
73003776 38869055 52953102
23650236 18469169 959202679
59362351 15710371 967636812
67589515 53252209 316276192
25207828 4319677 821797647
60500643 62598718 805125628
24951112 73032997 890480996
13100899 3539321 84757309
26388925 25337477 693993766
70016023 58847005 160400335
32422728 14554646 157243593
39309793 35345691 270815875
17827602 42151158 573547144
25828050 36930423 71767671
3754419 53298341 211447279
55314793 39586055 970366089
10815149 28854018 326121994
13815466 73821269 557294174
15218579 14231501 636964030
6721042 74394468 70412980
44743131 14945428 648109033
37042957 24034613 934611281
45221644 31039046 7747928
69704240 67744639 386556654
53397724 9078852 488608572
19547748 8734315 699680714
7071912 43163545 696548121
53275493 36605181 688722412
24434455 5818736 262446671
34755841 53667078 285400761
66548988 1892692 330732648
57403545 11322729 984246533
64531251 54708228 800194617
63939300 4522204 901047911
51547773 10737128 229634146
61423947 37856644 906970802
37333053 71298653 895702118
24796145 15315333 297969803
55419474 37174936 889119942
26859581 35014369 263232146
45169351 39760198 102263057
44081578 51361531 329248150
18626724 1610999 846760915
44045237 5589700 777538626
26266676 19684063 368641369
20391599 63099477 937493423
65450632 55208209 298869424
6206918 37718773 811484698
7861709 44041399 415609251
52251566 41326975 676535752
64206838 48352862 181640959
48823920 6576889 185923238
55039322 74640000 187285923
45393676 14991220 65069484
2334578 52239350 457960542
17610075 49280524 737802934
10077559 17670359 141294691
17176281 32460407 266779647
69502538 31392282 35857515
33254495 42551009 649355058
60151727 63904147 315067861
54895999 61121955 149088497
48447949 54189676 914381161
76389586 13695326 266981885
23816892 44397928 107835986
35089471 56546548 405328625
73712963 40616578 949322310
25120516 30427601 622291936
55436548 61191680 547739319
43091980 73179694 835308591
64100941 74082653 374795152
60441615 48630874 454287109
24567538 979433 891409545
44815232 45515933 845408873
31461332 55120739 788665150
8382196 41351688 657130091
18333715 29023360 220855769
21398014 71321747 967265526
12355621 50540878 615152641
63940625 2232689 364565953
67952388 60712181 765617476
67911858 56909933 554066895
51215443 37072797 385194404
46017466 10431174 241142831
32954782 65342515 825070746
66559533 58851543 440895670
30965227 68259417 802790909
13519881 34677818 63151304
60782451 42112595 182848451
51333984 46287471 212471742
40759464 39713768 804713593
48767209 23660661 246803200
21099421 32602801 988110076
39396919 28097516 622141326
57787301 62800450 698246935
50003261 64730507 730276905
5558936 48246274 519735529
56878431 61677142 464115794
70896899 719875 192892575
70076212 43025252 626622037
31873190 14571906 400362510
25115447 66777824 292224648
33752077 26551887 446334566
23464034 58435862 532886080
39097726 61341873 975173259
67157901 44843631 622156845
6086209 76409888 811862370
19594878 53377597 319897811
7668844 45832147 835584143
3684822 4816886 822840032
60348553 71543318 687534372
72776029 46299429 267798678
14558881 44980694 918233976
29695815 62787488 767710642
54667411 15303208 417621572
65799781 43450085 109509284
69270804 44401296 371049519
29079560 20235371 389544874
72695191 16621908 185606251
35861782 69103355 696601778
60644232 10177543 567319074
38226466 50190697 792648148
67583110 54260799 89845160
36370798 54551896 794786535
25482602 19538300 495633107
64959713 12372950 615760793
17598160 62835578 625071872
27747059 28386711 528159979
34706232 33506781 936880186
23088764 27053142 314859932
51809869 28994151 177276519
61361189 30920333 714915068
4574427 1753963 361366543
59312103 69976288 898012340
20667640 37811901 20222886
51692494 54668359 859115188
56307216 66888618 200436960
33308548 26977984 800760190
20888357 21115438 76451866
50206318 70123984 996690951
35448346 55154920 501061574
1763227 68872253 461784650
62664211 55975189 360336148
6061218 10207027 342772989
52553333 35979115 218422551
10927268 28642239 821028721
38693398 29344719 889631985
72667159 65845198 759161972
17603440 26106397 755865430
51027975 32325677 276569089
48874018 21286214 143546809
25413103 38008055 412011108
32328246 67871275 125113902
45060166 62386528 187696753
9254040 42036066 734819582
45690568 57885833 380061156
66651660 6394705 636113201
48523674 5073142 247322933
20541572 32738887 849762693
72093846 6743964 651684659
45609030 21491043 754894610
11975974 76122239 501050065
41257985 31224427 175112510
73232913 64376216 767619409
26638612 18131086 66651009
22081822 38584537 435934788
58235586 20395585 219571261
69913293 34755660 622486148
41726268 23365047 363270611
56963211 68815907 548735907
72986922 39160635 532888988
53013549 12585902 874064925
2836112 17281326 312054745
9072711 31387886 74676552
9819110 1678220 298349863
74654951 9504903 25187732
56380839 3384606 621331023
42329131 32045834 325239451
35406475 12696834 846847906
11766147 45717165 182676043
33664615 61589796 713327124
26927204 22420698 342733792
71923641 23952964 548675165
1233064 39900583 537432958
61332189 1692253 691841653
11802497 40628685 677518345
69758506 57137916 988674273
72578121 31609698 477518032
61639434 31904332 981227046
54758117 10649004 519720673
65363014 32069695 25942383
44941975 53716953 377966535
66765779 54027377 83867932
34522776 33047521 691122973
49974317 19514417 768620808
48516761 53072031 650819588
42555685 72693506 553661148
44179334 43898926 219383859
49379619 68434059 284575412
9830606 2847344 479797722
71547890 9452139 368668180
73834705 13056710 824821161
39991770 38594459 217711337
72631565 27212332 542791834
32615693 42001878 369188463
17237932 35267020 938983734
6035827 44494313 328228794
34802693 58203420 938644873
65259966 37592451 843832786
46425457 6562176 504149227
44501314 34843768 335347225
9298068 15126597 783718703
40202554 34776033 931913804
45368215 40197414 501078401
71397959 72555433 376665734
10377385 63939524 26506616
75735884 29379100 702890991
13610774 39163279 13880280
14123821 8442545 39354117
24671781 10220303 379821122
37322614 33479099 167716089
50402504 40808993 530213856
900682 28342828 864360829
59431956 62652594 560016987
34151383 42390556 513311179
9872843 14031411 142996406
54803562 50340966 810011636
4813720 41864692 780239904
42664218 41359024 741265685
59515038 39519406 89427934
66523497 27005291 72275525
1208735 14587741 490569614
20037438 72853093 908059435
69640541 11723165 809786734
16380352 21226308 882616439
22058631 51984500 208752820
44280199 34644766 886226117
61050588 14499961 861796265
35043479 56584259 190885145
53066735 14048193 470269354
30898587 39808275 267891777
54526105 70416787 828537478
47266886 8190027 112707653
20427832 23807298 709676650
61523483 15834151 506404821
2053602 34751442 974990092
67072204 65208511 874323157
53002565 11712273 405455056
11431997 18982044 23571473
26698110 30016883 847482507
74265004 35069205 582128821
35333653 44772172 245788781
18856707 19833562 179929073
43449580 8784769 934741972
1404924 64543129 672944954
60483545 5477034 325205620
21691984 35796732 672102253
48962509 51353843 801854924
3177704 73721229 610977734
5837046 11499760 619774017
39546474 70848520 862993410
44052404 52090128 916373607
35691897 4918130 767839582
17217694 65785527 186777090
48458325 22345476 28036313
45077724 39975500 740372227
17335413 36774405 705831939
35017853 2583370 970326101
66894034 69329536 855068726
66738458 45118824 746443531
42620858 39916054 38978457
58731559 52270030 267850702
12618282 42237806 590084648
57804898 31404770 475936466
4624016 31033206 86599132
8049629 55266912 69985282
31451671 45340504 606955438
46478455 12624385 427467852
13718471 59274293 406688322
61712320 59312156 221781036
50964240 41456998 238325562
16551132 14229075 6433891
6188343 74088448 829965393
18548486 27690977 177702483
76274952 4613799 634025114
30032696 14319934 765898204
75516242 41517145 334583666
40332090 56269798 346750061
65620343 75967792 9009020
3334638 62613828 117498819
51099729 55929062 743716303
19588981 34687615 640602103
45732018 46880723 342633382
10139381 51451201 380990297
31212856 44055090 876474816
59223051 57734623 598349092
18292186 16947483 880108892
40660178 62247975 141709751
2634083 9847251 71277091
36118147 71657539 609831422
41724862 35869821 661887048
49322511 53634574 957737948
49347151 3071736 760844373
21415706 44382872 17985551
20186376 8668191 966559974
15570799 1223848 408276923
24963076 42300700 890553587
56524615 61529018 253394651
23693024 997895 59259864
30276646 16396305 425074503
71186792 39006013 335689416
41083725 23055915 945408852
71730278 18180921 572766221
52908582 762676 172836541
2310920 48141953 941224220
71676198 26169613 912529774
75432376 43464680 6190419
59536000 9958761 823022197
4469581 18357139 251022168
72259517 66858244 508889767
21740469 3783502 868495691
18813592 64225726 446478657
61495392 58891128 697239391
32237864 31226683 473783490
31949576 15618104 162742863
9850039 20641354 867523374
13959622 8555207 859323358
45326093 33459685 356774928
74247159 71435211 41227635
30048776 31277017 483655992
28533546 16683291 227354399
14619708 35792557 979871590
74690441 47802609 971717667
33177224 34394581 483674362
34623583 18221724 62609420
51405611 18614898 177614251
10528761 22224044 468281866
50568553 69389457 281734096
74958816 11583415 747419465
59069866 35984708 350510468
71646960 24772412 172491015
20305604 17501641 503736424
223357 26863934 149860250
14494866 48183957 517879767
39062955 75338082 983974452
69382672 39720047 465775167
33908793 59556546 578085556
35878408 35712220 194232411
54753242 15630517 351630337
49027669 45545547 53581219
7068779 15370420 292425304
8852846 19400164 285403183
25972956 29473254 809512367
5871167 36580522 98308219
45530973 26679818 701885811
76387615 33254310 811316935
19964233 38766962 510029509
58668024 9949046 395046748
42318373 27811325 955222930
18959309 67744929 461400856
25689560 59648922 271985101
15722839 73406407 711101039
38834501 76166670 966155227
57232916 635537 796720908
76422083 73393892 892285312
13030988 2782577 992909685
45288841 37622221 821614249
61268900 11438988 373206713
35173113 18193833 182734793
53692888 24889872 786031189
11953689 75009209 382271808
21161764 33373705 881402584
4298079 38886656 429620222
37900509 52075308 17241414
65743280 41645913 206310919
43943224 74967012 872723690
72385009 10991435 798061340
61996008 70512613 613024244
67870004 12913163 942771798
16716877 29617812 694880283
20806924 2691123 190311178
9829519 63457512 498159513
51447605 75532822 546734841
45844056 39103404 305460467
9236733 61157751 373196477
73923126 28568131 827992961
41726888 49348762 954913210
34127074 49000495 686039937
26508942 14271903 979454740
46941880 30236438 40858724
73345241 56032085 628507328
58304137 4443150 37767970
47666564 73596797 800655079
35582993 23919812 495752084
39865754 58674040 329792227
1941595 22088635 31401388
21222485 19147476 944793557
11539274 20710411 262011699
41894776 45372432 4662054
9277735 11545325 948156512
7855996 16683795 370505268
14726301 48210273 756328659
17082667 35800202 714783884
58081615 3370331 281004653
73439776 32540451 18762531
11276973 38681139 868673065
16069239 63255052 817199964
16408997 16503243 483462639
66069893 20081450 413830871
3498936 52141019 79559587
17878146 8832969 33035098
36233686 48165406 557460310
75035386 68213094 944616882
35904472 43065265 553082478
64261263 55826012 287773023
72833312 60371786 513085876
45268669 6823382 790733064
28951098 42554052 745224295
66982681 52624716 596665294
19916096 61559819 498590862
52338309 70360107 146468970
58247895 1064765 159152854
48840255 11769806 589345458
50943703 66600590 374994939
31165824 15219937 613640881
42585413 28189375 937076813
4057853 25265184 79413040
42433580 62774091 182371774
11225457 27204253 932662144
13053284 5596497 836628879
18241759 62793567 801921719
74525971 7354242 714222097
28129245 52381093 233768923
26455050 24714726 204077992
32016364 17772968 684437199
59231701 73537775 804875556
41362237 42146931 790603660
70840611 380209 872630436
33396064 66715821 341661424
23645622 48506473 426227934
5504121 63830748 769920244
27180221 41359767 267075501
32206315 65993281 189923199
17186265 34452157 837388748
47618369 903239 589541988
52415296 74004487 894285938
46950369 2646743 470983535
37042683 54076586 116041712
7806493 4905191 798866198
48413002 68099128 57802547
18559858 15635550 616477025
55014312 32450714 410370611
24300426 11908245 772965900
69605914 32900660 415324445
49314434 6087070 980784168
26881612 32837023 958920052
24545412 11306122 733683554
18635787 40687665 138261205
31660567 61404788 445846329
46626052 73163305 258934318
53178489 4464726 854793767
19242057 57827642 392872101
25679223 70206401 826504769
35435217 69091112 460105241
14568725 39096620 75107169
45776150 12947405 470844420
29481496 43111325 44506281
16155290 19060052 52452796
45621124 57756192 213822532
27993577 67841540 569700985
23619486 33933341 140728566
43100883 15354542 479223347
48319471 40296607 175326177
38097866 1728092 173415020
52752544 65875485 253446830
69731433 6911230 499216947
27330136 76497868 644542743
60866397 28839196 973149612
58915877 63298919 429782570
48789732 53836732 322034905
26425827 31892991 263182356
47935814 58546256 441945911
51513186 16425133 143085410
69955768 21639153 161817009
14173599 70325765 719621075
34124717 68813133 906072810
8298099 39020691 375812589
44115837 34126844 212160104
48272795 25517345 177112797
20478818 68698970 413941770
49744250 55813249 125141024
35145433 52358419 532188645
56974848 37567904 398215578
16955928 72275238 813436891
38344443 3836265 122873666
44309230 12366534 259697499
32253011 75051377 512882839
70158612 55794780 591321341
32656962 67735458 969209236
60807158 21284738 470344462
74615297 43902664 173190471
14233833 23193462 631749172
73183063 55953958 137102195
24311829 43281461 713885860
71230389 27773066 432218035
12038447 44135277 717046392
6946935 16496445 216942961
27982182 49784548 325468009
5052160 7524100 649104727
9137331 18023072 596015235
56130238 39458530 177798946
5594099 3588324 501412418
34062887 24023806 280667666
40462556 56812297 478610468
36016326 18598985 790036819
6599386 72025710 145613174
43355334 50362443 593171320
17397784 12022704 498044743
35604447 38345016 644472190
48043129 14228876 229090951
7336780 60008285 222480977
62354442 67153169 743062371
16721921 55667170 261178218
25986431 51036535 7711752
65800912 13522559 676072959
34767937 29095765 136395759
7070935 36673873 222241647
75847105 1455469 316395433
21138239 41939787 62611487
47849538 68645317 718341651
25841758 25843127 995711716
45522167 42796863 992268534
11659907 60437876 552882648
3325678 18860702 818346139
9323251 9606264 305692899
5088321 10203218 235197076
24001777 68816167 157949569
9896820 53453997 410063788
41884621 74779640 489646275
6443186 35900477 655742541
65535325 48042605 767259310
5564627 36825521 96320313
46894465 41030177 501610061
15103004 16074713 421286529
71442897 42612751 269702585
42358539 42397880 250016275
31309490 53822395 445194728
44396267 49006394 630005310
57708910 37410520 31653683
26060974 12828205 168792677
55840757 8716049 226183547
5858458 74937518 725867482
15684926 19908027 883032503
54805121 51865943 687235721
70164437 48728296 619751868
49177562 67540282 366498642
44328036 10188036 773922592
16838722 64032368 655669312
16303517 57792778 139389396
61078440 72039714 680384902
53434089 63099947 307818519
30437721 52411069 324170935
46695658 74360931 174362295
34745738 30315875 569447160
20747458 74474389 725912729
48854248 48856967 95233431
23160609 34437138 498790313
48668306 32834505 288262832
54399499 73567684 855560123
13478889 2711810 273748766
54009160 3678155 856157878
23346848 67005568 324307287
15774141 39028074 989643124
269143 6382657 60163152
21177518 45161347 936980381
67884735 30476817 301442528
6459888 37281385 949341623
61105669 28979244 102755203
49602910 7618920 62819017
6926118 3858071 833527943
9519572 28492950 762319624
67014382 72757831 999103570
75352850 73576634 473727792
20818579 20193074 54833568
42576590 25931135 237252724
20466721 15504865 231466411
73383897 28536821 185844084
33849502 13466478 754640679
46724705 38336687 398869621
53908676 60952942 684400232
74932211 17315870 640384855
28737430 64764623 394351952
37543015 8114412 911687912
48112350 51125249 886281527
27226137 61062553 944761023
27163165 45595656 522930440
64710895 71542006 512917428
32232867 59871606 404510799
34225324 16586115 231585773
1742175 36159973 847617949
14106384 44239097 423281702
64555229 4458331 298693519
3274800 18604267 680079802
11084702 1551552 577888936
30600755 55890174 500974184
11902063 58916509 98298696
29237011 73722231 564630897
18084046 44229649 835485100
47865511 3409481 770626994
38507438 40993382 935298179
60674859 75599695 317526342
38202164 74762997 332600253
1217296 76024747 951233121
51267284 35275801 557502295
59693247 51280275 190827954
52789076 58023762 981486077
52634472 4110886 36267832
42636574 10296199 723119182
54750505 70467063 504718610
3339488 22770578 47490181
35555450 70876308 762358234
1598028 50933933 992418281
48342952 25755347 151577954
59464846 76491771 507112872
33516888 33558434 803490063
27205553 54520143 944281239
20888419 9278029 787708097
49413489 24949098 923711350
59578451 843916 136805170
24657274 12948500 29814702
62455599 10302958 868450774
37910106 16661765 12791058
59404429 67459319 12209878
60950704 17241737 963118193
911219 352617 437075674
71424610 70074145 875172525
13665116 74771646 100419938
21243646 44359669 478293823
30602124 25137968 205946757
72114139 46139281 93436583
7096631 49828921 927918768
774255 23410441 515690975
351086 17224019 532331553
60122758 34277390 271710556
22079044 21596264 792718672
71151996 47304043 93493398
25841187 28214143 939347079
35004057 39991675 982864240
24949556 17184 695460757
61685017 25460859 45398686
21987644 50215693 647399416
5940399 50551145 437237567
47185128 28013592 614940539
27516675 10139920 463787156
49132685 49723705 138511936
8993657 24627744 39365900
48380517 38971171 490894580
29933197 58937030 165804463
71377588 15934166 862345923
69725634 44612051 416450188
48063162 29785065 874828165
74023387 70515870 839565364
28874899 62962835 750213140
13895741 57021038 536876605
52767357 1765693 663605091
49984496 29718698 331688220
74431835 27597546 67433272
44997862 61338921 64479489
26459011 9192026 671848980
24284845 58116448 915334989
63761629 9452186 947312368
54011910 11221919 873037052
73949595 19957912 853309693
70569570 74857450 273225438
65999427 67974585 835487238
54141778 70096607 735678707
40811339 55446316 868845068
62360428 29733397 334595812
42836854 30433272 854203464
69116706 72355904 77963883
25765463 72813475 760891161
34149513 53843989 524957179
6457130 31595722 101824817
48785036 72568706 353981212
46570270 68689252 853135709
51156285 20656947 122215651
2027910 8815494 139638773
2405774 26851456 991296497
54626124 27107935 521426255
28190251 50481119 492347776
29839426 51267660 601763849
17961005 57143185 89279560
38060291 38198205 58371845
29563212 31535887 429781814
30636787 41152451 980959162
71320031 32083458 816415382
2780666 12605899 187802002
6273970 58807286 858070004
61841588 31384279 390760942
69410864 34169471 1357866
74498144 40827490 458065130
68185111 45913815 794716244
26712682 53251788 784703192
47892808 47727441 257638421
55167740 56474745 900190331
15870306 49533033 586284063
40117500 15907403 232838714
14336236 49823413 586311266
9202443 42621023 882635594
48338132 69745990 248137834
67973237 30862044 267345499
35615861 48737353 76967035
48787227 71166122 274936212
49072575 75727261 441953382
62865640 72322448 168080011
70630263 76125153 509219336
43612997 50529805 881650012
20088856 24321446 239453207
9384396 23299891 501477576
35545318 37898414 262808623
70676219 5514046 496566122
68589113 66347327 105771316
12719003 48955805 452759495
75153272 55412504 431352385
37135807 17427641 521028007
39262873 53410184 610406186
52155911 13625705 804762742
22554473 73602216 111441619
73440977 12054443 464069989
66004608 66811739 85258405
28550384 9664806 636935477
36572788 31622840 212028951
17866909 66369596 538116821
60385029 35354756 167796475
2354931 46352008 158927468
37198093 43973446 952886052
50782546 55551 514211304
48437438 13117323 183877572
70463774 75357489 127835353
22806746 43725140 998435634
1210024 47177483 652846427
25451583 22036340 787023305
42485414 56870339 778719435
63395825 27534790 253806978
55048602 34467184 926797330
36447372 72523018 609023834
66551314 35987339 493402992
49139965 11161392 956942663
37930413 56392167 763547590
28642600 30425071 553196313
23879414 13694763 447063069
22273672 39847226 327039596
76360037 45145409 122324300
17958650 50835053 129232650
61956906 46972107 700399790
17756913 8550271 248618440
52384791 6128233 5497389
48553666 26521335 27092813
42269867 41067681 421778602
35527471 31243269 354517633
56219253 57803312 515122800
5750660 38095099 57735522
53423186 27314865 952862663
